"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"IGKV3-15","IGKV3-15","Bivariate model, Reitsma 2005",0.731,0.515,0.874,0.666,0.535,0.776,6.69,5.42,1.52,19.3,2.24,2.17,1.24,3.63,0.43,0.406,0.175,0.819,0.727,"Univariate model, Glas 2003",6.114,1.812,20.625,1.811,0.595,3.027,0.815,0,29.143,0.903,0,5.398,13.444,3.466,0.325,3,6
"IGHE","IGHE","Bivariate model, Reitsma 2005",0.669,0.436,0.841,0.754,0.352,0.945,8.44,6.19,1.32,29,3.45,2.66,1.1,10.5,0.483,0.463,0.242,0.853,0.742,"Univariate model, Glas 2003",6.319,1.652,24.173,1.844,0.502,3.185,0,0,27.935,0,0,5.285,0,0.748,0.688,2,3
"COL1A1","COL1A1","Bivariate model, Reitsma 2005",0.672,0.059,0.985,0.923,0.725,0.982,230,24.4,0.387,1560,11.4,7.64,0.438,44.9,0.435,0.362,0.016,1.11,0.927,"Univariate model, Glas 2003",20.848,0.428,1016.386,3.037,-0.85,6.924,6.08,0,8232.093,2.466,0,90.731,0,1,0.317,1,2
"CRYAB","CRYAB","Bivariate model, Reitsma 2005",0.551,0.176,0.875,0.709,0.194,0.961,3.46,2.99,1.03,8.61,2.23,1.83,1.01,5.8,0.68,0.678,0.387,0.981,0.654,"Univariate model, Glas 2003",2.484,1.114,5.539,0.91,0.108,1.712,0,0,362.59,0,0,19.042,0,0.244,0.621,1,2
"LMNA","LMNA","Bivariate model, Reitsma 2005",0.846,0.709,0.925,0.571,0.36,0.76,8.77,7.31,2.24,23.8,2.07,1.96,1.27,3.53,0.295,0.274,0.125,0.588,0.753,"Univariate model, Glas 2003",7.936,2.362,26.659,2.071,0.86,3.283,0,0,249.06,0,0,15.782,0,0.307,0.579,1,2
"SLPI","SLPI","Bivariate model, Reitsma 2005",0.678,0.458,0.84,0.709,0.513,0.85,5.95,5.13,1.78,14.9,2.43,2.29,1.33,4.35,0.473,0.461,0.236,0.78,0.747,"Univariate model, Glas 2003",7.087,2.387,21.042,1.958,0.87,3.047,0,0,14.4,0,0,3.795,0,1.81,0.613,3,4
"ANXA1","ANXA1","Bivariate model, Reitsma 2005",0.705,0.361,0.91,0.781,0.636,0.878,10,8.5,2.78,26.1,3.16,3.08,1.96,4.83,0.399,0.381,0.13,0.762,0.81,"Univariate model, Glas 2003",7.43,3.111,17.744,2.005,1.135,2.876,0.156,0,25.187,0.395,0,5.019,0,1.926,0.382,2,3
"GNAI2","GNAI2","Bivariate model, Reitsma 2005",0.755,0.576,0.875,0.812,0.563,0.936,16.4,13.3,3.73,47.6,4.59,3.96,1.75,11.2,0.32,0.31,0.162,0.539,0.849,"Univariate model, Glas 2003",15.621,4.253,57.371,2.749,1.448,4.05,0,0,10.829,0,0,3.291,0,0.34,0.843,2,3
"IGF1","IGF1","Bivariate model, Reitsma 2005",0.796,0.476,0.944,0.669,0.53,0.783,11.7,7.87,1.37,45,2.43,2.36,1.19,4.03,0.352,0.307,0.079,0.868,0.709,"Univariate model, Glas 2003",6.726,1.503,30.106,1.906,0.407,3.405,1.013,0,223.113,1.007,0,14.937,40.033,3.335,0.189,2,3
"ATP1A1","ATP1A1","Bivariate model, Reitsma 2005",0.5,0.302,0.698,0.72,0.445,0.892,3.36,2.57,0.613,10.8,2.04,1.77,0.763,4.89,0.732,0.704,0.402,1.24,0.593,"Univariate model, Glas 2003",2.807,0.612,12.879,1.032,-0.491,2.556,0,0,922.003,0,0,30.365,0,0.408,0.523,1,2
"MPO","MPO","Bivariate model, Reitsma 2005",0.793,0.576,0.915,0.5,0.287,0.713,4.27,3.83,1.54,9.54,1.62,1.56,1.15,2.46,0.44,0.422,0.204,0.775,0.694,"Univariate model, Glas 2003",4.713,1.853,11.989,1.55,0.617,2.484,0,0,10.301,0,0,3.21,0,2.96,0.564,4,5
"REG1B","REG1B","Bivariate model, Reitsma 2005",0.848,0.657,0.942,0.613,0.339,0.83,12,8.8,1.87,41.4,2.39,2.15,1.21,4.96,0.288,0.255,0.091,0.674,0.777,"Univariate model, Glas 2003",8.639,1.739,42.932,2.156,0.553,3.76,0,0,1293.255,0,0,35.962,0,0.481,0.488,1,2
"S100A6","S100A6","Bivariate model, Reitsma 2005",0.731,0.471,0.892,0.69,0.312,0.916,7.25,6.05,1.86,19.6,2.75,2.31,1.19,6.85,0.424,0.411,0.209,0.711,0.77,"Univariate model, Glas 2003",7.093,1.89,26.616,1.959,0.637,3.282,0.898,0,26.41,0.948,0,5.139,0,2.978,0.395,3,4
"ANXA2","ANXA2","Bivariate model, Reitsma 2005",0.73,0.48,0.887,0.807,0.33,0.973,17.7,11.3,1.75,72.4,5.71,3.69,1.18,22.5,0.382,0.361,0.168,0.716,0.806,"Univariate model, Glas 2003",11.839,2.398,58.455,2.471,0.875,4.068,0,0,798.357,0,0,28.255,0,0.405,0.524,1,2
"BPGM","BPGM","Bivariate model, Reitsma 2005",0.641,0.5,0.761,0.633,0.466,0.774,3.35,3.08,1.38,6.87,1.8,1.74,1.16,2.81,0.582,0.572,0.376,0.847,0.676,"Univariate model, Glas 2003",3.35,1.459,7.692,1.209,0.378,2.04,0,0,1.026,0,0,1.013,0,0.523,0.914,3,4
"TPM2","TPM2","Bivariate model, Reitsma 2005",0.608,0.451,0.745,0.768,0.469,0.926,6.82,5.15,1.19,22.4,3.13,2.6,1.08,8.33,0.544,0.52,0.318,0.917,0.721,"Univariate model, Glas 2003",6.525,1.429,29.804,1.876,0.357,3.395,0,0,1193.642,0,0,34.549,0,0.607,0.436,1,2
"COL1A2","COL1A2","Bivariate model, Reitsma 2005",0.842,0.723,0.916,0.596,0.373,0.785,9.35,7.85,2.48,24.9,2.21,2.07,1.31,3.93,0.288,0.269,0.133,0.546,0.835,"Univariate model, Glas 2003",7.908,2.493,25.085,2.068,0.913,3.222,0,0,420.216,0,0,20.499,0,0.456,0.499,1,2
"CTSG","CTSG","Bivariate model, Reitsma 2005",0.606,0.35,0.814,0.644,0.395,0.834,3.21,2.79,0.987,7.88,1.78,1.67,0.994,3.19,0.634,0.623,0.329,1.01,0.664,"Univariate model, Glas 2003",3.228,1.142,9.122,1.172,0.133,2.211,0,0,4.943,0,0,2.223,0,1.107,0.775,3,4
"VIM","VIM","Bivariate model, Reitsma 2005",0.8,0.551,0.929,0.563,0.4,0.714,6.23,5.17,1.56,17.1,1.84,1.8,1.21,2.73,0.386,0.358,0.133,0.793,0.633,"Univariate model, Glas 2003",11.185,1.339,93.46,2.415,0.292,4.538,2.147,0,114.68,1.465,0,10.709,0,1.674,0.433,2,3
"ANXA5","ANXA5","Bivariate model, Reitsma 2005",0.797,0.24,0.98,0.602,0.341,0.816,18.5,5.95,0.313,113,2.08,1.91,0.502,4.7,0.477,0.345,0.031,1.59,0.637,"Univariate model, Glas 2003",6.042,0.346,105.576,1.799,-1.062,4.659,2.774,0,4792.688,1.666,0,69.229,0,1,0.317,1,2
"IGFBP1","IGFBP1","Bivariate model, Reitsma 2005",0.817,0.628,0.922,0.631,0.329,0.856,10.6,7.64,1.57,37,2.49,2.18,1.15,5.65,0.333,0.298,0.117,0.749,0.821,"Univariate model, Glas 2003",8.002,1.637,39.123,2.08,0.493,3.667,0,0,15.635,0,0,3.954,0,0.01,0.919,1,2
"GSTP1","GSTP1","Bivariate model, Reitsma 2005",0.832,0.199,0.99,0.773,0.392,0.948,37.9,16.9,1.41,204,3.94,3.2,1.22,11,0.308,0.227,0.017,0.937,0.84,"Univariate model, Glas 2003",17.544,2.603,118.246,2.865,0.957,4.773,0.34,0,1974.921,0.583,0,44.44,0,1,0.317,1,2
"ALDOC","ALDOC","Bivariate model, Reitsma 2005",0.735,0.581,0.848,0.617,0.381,0.809,5.39,4.48,1.37,14.7,2.06,1.91,1.12,3.89,0.459,0.435,0.231,0.829,0.744,"Univariate model, Glas 2003",8.543,0.563,129.655,2.145,-0.575,4.865,2.534,0,4711.32,1.592,0,68.639,0,1,0.317,1,2
"SPP1","SPP1","Bivariate model, Reitsma 2005",0.898,0.564,0.984,0.554,0.191,0.867,14,10.9,2.78,43,2.27,1.95,1.18,5.23,0.231,0.196,0.051,0.599,0.81,"Univariate model, Glas 2003",11.846,3.149,44.563,2.472,1.147,3.797,0,0,20.337,0,0,4.51,0,0.972,0.615,2,3
"PF4V1","PF4V1","Bivariate model, Reitsma 2005",0.576,0.378,0.753,0.718,0.532,0.851,4.02,3.46,1.18,10.2,2.15,2.02,1.1,3.95,0.607,0.596,0.344,0.936,0.708,"Univariate model, Glas 2003",4.301,1.659,11.154,1.459,0.506,2.412,0.199,0,8.895,0.446,0,2.983,0,2.536,0.469,3,4
"MTHFD1","MTHFD1","Bivariate model, Reitsma 2005",0.841,0.26,0.988,0.828,0.268,0.984,55.3,25.4,2.21,293,7.74,4.38,1.21,34.9,0.278,0.212,0.023,0.834,0.901,"Univariate model, Glas 2003",31.502,2.668,371.962,3.45,0.981,5.919,0,0,19.561,0,0,4.423,0,0.007,0.933,1,2
"PIP","PIP","Bivariate model, Reitsma 2005",0.825,0.642,0.925,0.665,0.403,0.854,12.3,9.38,2.21,39.8,2.7,2.43,1.31,5.64,0.295,0.269,0.108,0.626,0.819,"Univariate model, Glas 2003",9.241,2.114,40.391,2.224,0.749,3.699,0,0,400.254,0,0,20.006,0,0.347,0.556,1,2
"ALAD","ALAD","Bivariate model, Reitsma 2005",0.884,0.77,0.946,0.65,0.361,0.859,18.8,14.2,3.2,62.6,2.84,2.5,1.35,6.29,0.203,0.183,0.078,0.446,0.88,"Univariate model, Glas 2003",12.875,3.006,55.151,2.555,1.1,4.01,0.353,0,60.959,0.594,0,7.808,0,1.898,0.387,2,3
"MIF","MIF","Bivariate model, Reitsma 2005",0.762,0.637,0.854,0.7,0.555,0.814,8.26,7.49,3.14,17.8,2.62,2.53,1.65,4.14,0.351,0.342,0.204,0.55,0.796,"Univariate model, Glas 2003",7.65,3.025,19.348,2.035,1.107,2.963,0,0,247.379,0,0,15.728,0,0.481,0.488,1,2
"HSP90B1","HSP90B1","Bivariate model, Reitsma 2005",0.705,0.578,0.806,0.594,0.328,0.814,3.88,3.49,1.42,8.59,1.87,1.73,1.11,3.45,0.523,0.506,0.351,0.795,0.711,"Univariate model, Glas 2003",3.781,1.475,9.689,1.33,0.389,2.271,0.324,0,12.991,0.569,0,3.604,0,3.845,0.427,4,5
"MMP9","MMP9","Bivariate model, Reitsma 2005",0.516,0.29,0.736,0.812,0.581,0.931,5.03,4.6,2.02,10.5,2.91,2.69,1.48,5.59,0.605,0.606,0.385,0.815,0.72,"Univariate model, Glas 2003",5.651,2.421,13.192,1.732,0.884,2.58,0,0,8.313,0,0,2.883,0,1.274,0.735,3,4
"DSP","DSP","Bivariate model, Reitsma 2005",0.642,0.463,0.789,0.718,0.34,0.927,6.08,4.58,1.04,20.1,2.81,2.25,1.02,7.93,0.546,0.516,0.31,0.974,0.694,"Univariate model, Glas 2003",4.304,1.204,15.381,1.46,0.186,2.733,0,0,51.348,0,0,7.166,0,1.555,0.459,2,3
"H1-5","H1-5","Bivariate model, Reitsma 2005",0.712,0.543,0.838,0.607,0.349,0.816,4.74,3.82,1.05,13.8,1.97,1.79,1.02,3.92,0.514,0.481,0.248,0.971,0.72,"Univariate model, Glas 2003",5.697,0.6,54.096,1.74,-0.511,3.991,1.405,0,3500.237,1.185,0,59.163,0,1,0.317,1,2
"STMN1","STMN1","Bivariate model, Reitsma 2005",0.588,0.352,0.79,0.888,0.498,0.985,22.5,11.4,1.15,112,8.72,5.13,1.07,38.2,0.508,0.483,0.238,0.941,0.867,"Univariate model, Glas 2003",11.395,1.134,114.516,2.433,0.126,4.741,0,0,38.024,0,0,6.166,0,0.014,0.905,1,2
"PGAM1","PGAM1","Bivariate model, Reitsma 2005",0.858,0.416,0.981,0.691,0.063,0.987,24.6,13.5,1.59,116,6.81,2.7,1.03,38.6,0.301,0.257,0.076,0.742,0.867,"Univariate model, Glas 2003",12.195,2.41,61.724,2.501,0.879,4.123,0,0,1209.152,0,0,34.773,0,0.609,0.435,1,2
"CDH2","CDH2","Bivariate model, Reitsma 2005",0.831,0.696,0.914,0.623,0.426,0.786,9.56,8.15,2.68,24.7,2.3,2.19,1.4,3.9,0.291,0.274,0.133,0.545,0.822,"Univariate model, Glas 2003",8.979,2.129,37.875,2.195,0.756,3.634,0.506,0,76.268,0.711,0,8.733,2.732,2.056,0.358,2,3
"VCAM1","VCAM1","Bivariate model, Reitsma 2005",0.721,0.46,0.887,0.645,0.451,0.8,4.97,4.68,2.37,9.25,2.03,1.98,1.49,2.84,0.446,0.437,0.224,0.717,0.724,"Univariate model, Glas 2003",5.159,2.777,9.581,1.641,1.022,2.26,0,0,1.205,0,0,1.098,0,1.294,0.862,4,5
"OGN","OGN","Bivariate model, Reitsma 2005",0.809,0.633,0.913,0.532,0.315,0.737,6.51,4.81,1.06,22,1.83,1.71,1.02,3.28,0.41,0.362,0.136,0.964,0.761,"Univariate model, Glas 2003",6.552,1.786,24.041,1.88,0.58,3.18,0.466,0,55.785,0.682,0,7.469,0,1.926,0.382,2,3
"ITGA6","ITGA6","Bivariate model, Reitsma 2005",0.817,0.281,0.981,0.567,0.364,0.749,14.1,5.86,0.435,79.2,1.86,1.81,0.612,3.39,0.438,0.328,0.033,1.39,0.568,"Univariate model, Glas 2003",5.509,0.473,64.107,1.706,-0.748,4.161,2.26,0,3442.172,1.503,0,58.67,0,1,0.317,1,2
"PTPRG","PTPRG","Bivariate model, Reitsma 2005",0.691,0.419,0.875,0.891,0.734,0.961,31.2,18.4,2.45,138,7.58,6.28,1.79,21,0.373,0.349,0.133,0.746,0.892,"Univariate model, Glas 2003",19.239,2.395,154.544,2.957,0.873,5.04,2.808,0,40.147,1.676,0,6.336,0,2.27,0.518,3,4
"S100A4","S100A4","Bivariate model, Reitsma 2005",0.779,0.644,0.873,0.623,0.354,0.833,6.45,5.81,2.39,14.2,2.23,2.05,1.28,4.23,0.374,0.365,0.233,0.568,0.781,"Univariate model, Glas 2003",5.972,2.666,13.378,1.787,0.981,2.594,0,0,7.806,0,0,2.794,0,2.939,0.568,4,5
"YWHAQ","YWHAQ","Bivariate model, Reitsma 2005",0.741,0.485,0.897,0.733,0.464,0.897,11.2,7.87,1.5,41.3,3.11,2.71,1.2,7.37,0.392,0.361,0.136,0.822,0.757,"Univariate model, Glas 2003",8.246,1.98,34.345,2.11,0.683,3.536,0,0,955.35,0,0,30.909,0,0.846,0.358,1,2
"GRN","GRN","Bivariate model, Reitsma 2005",0.647,0.452,0.803,0.668,0.441,0.837,3.97,3.7,1.77,7.74,2.03,1.93,1.27,3.36,0.542,0.537,0.346,0.763,0.702,"Univariate model, Glas 2003",4.033,1.922,8.463,1.395,0.653,2.136,0,0,8.286,0,0,2.878,0,2.216,0.529,3,4
"SFN","SFN","Bivariate model, Reitsma 2005",0.718,0.582,0.823,0.647,0.42,0.822,5.47,4.67,1.54,14.1,2.18,2.02,1.19,4.09,0.461,0.442,0.257,0.777,0.74,"Univariate model, Glas 2003",4.839,1.397,16.758,1.577,0.335,2.819,0,0,25.527,0,0,5.052,0,1.122,0.571,2,3
"S100A11","S100A11","Bivariate model, Reitsma 2005",0.636,0.486,0.764,0.874,0.612,0.968,17,12.2,2.44,60.5,6.5,5.01,1.58,20.3,0.437,0.425,0.268,0.675,0.642,"Univariate model, Glas 2003",12.223,2.452,60.923,2.503,0.897,4.11,0,0,15.067,0,0,3.882,0,0.012,0.913,1,2
"SFTPD","SFTPD","Bivariate model, Reitsma 2005",0.494,0.261,0.73,0.916,0.583,0.988,21,10.6,1.07,104,9.77,5.7,1.04,43.1,0.586,0.57,0.298,0.976,0.888,"Univariate model, Glas 2003",12.812,1.245,131.856,2.55,0.219,4.882,0,0,1282.629,0,0,35.814,0,0.439,0.508,1,2
"FBN1","FBN1","Bivariate model, Reitsma 2005",0.842,0.604,0.949,0.576,0.218,0.869,8.43,7.27,2.51,21.1,2.27,1.96,1.17,5.21,0.306,0.291,0.135,0.562,0.81,"Univariate model, Glas 2003",7.982,2.959,21.534,2.077,1.085,3.07,0,0,9.042,0,0,3.007,0,0.456,0.796,2,3
"GLRX","GLRX","Bivariate model, Reitsma 2005",0.74,0.245,0.961,0.691,0.314,0.916,9.89,6.36,1.01,40.1,2.59,2.2,1,6.45,0.439,0.397,0.077,0.997,0.757,"Univariate model, Glas 2003",7.516,1.541,36.673,2.017,0.432,3.602,0,0,626.625,0,0,25.032,0,0.451,0.502,1,2
"SNCA","SNCA","Bivariate model, Reitsma 2005",0.72,0.518,0.86,0.823,0.741,0.883,13.6,11.9,4.41,32.3,4.12,4.01,2.47,6.38,0.352,0.342,0.17,0.593,0.851,"Univariate model, Glas 2003",12.742,3.188,50.922,2.545,1.159,3.93,0,0,52.1,0,0,7.218,0,0.043,0.835,1,2
"ATP6V1A","ATP6V1A","Bivariate model, Reitsma 2005",0.901,0.675,0.975,0.604,0.228,0.887,19.1,13.8,2.86,66.8,2.71,2.23,1.2,7.12,0.204,0.176,0.052,0.512,0.884,"Univariate model, Glas 2003",14.037,3.309,59.553,2.642,1.197,4.087,0,0,38.251,0,0,6.185,0,1.311,0.519,2,3
"VCP","VCP","Bivariate model, Reitsma 2005",0.639,0.456,0.789,0.703,0.506,0.845,5.03,4.19,1.28,13.7,2.29,2.13,1.13,4.37,0.536,0.519,0.285,0.892,0.719,"Univariate model, Glas 2003",4.239,1.608,11.178,1.444,0.475,2.414,0,0,24.053,0,0,4.904,0,1.864,0.394,2,3
"CCL18","CCL18","Bivariate model, Reitsma 2005",0.866,0.678,0.952,0.552,0.315,0.767,9.72,7.96,2.29,27.5,2.03,1.9,1.26,3.54,0.274,0.249,0.094,0.594,0.774,"Univariate model, Glas 2003",9.079,2.589,31.832,2.206,0.951,3.46,0,0,4.538,0,0,2.13,0,0.219,0.896,2,3
"NPC2","NPC2","Bivariate model, Reitsma 2005",0.748,0.428,0.922,0.693,0.415,0.878,8.23,6.72,1.93,23.4,2.58,2.35,1.33,5.15,0.395,0.374,0.136,0.766,0.774,"Univariate model, Glas 2003",8.867,2.486,31.626,2.182,0.911,3.454,0,0,3.075,0,0,1.754,0,0.167,0.92,2,3
"TMSB4X","TMSB4X","Bivariate model, Reitsma 2005",0.781,0.443,0.941,0.561,0.226,0.848,5.08,4.56,1.82,11.4,1.89,1.73,1.16,3.57,0.423,0.407,0.179,0.752,0.731,"Univariate model, Glas 2003",5.135,2.162,12.197,1.636,0.771,2.501,0.314,0,7.111,0.561,0,2.667,0,3.936,0.415,4,5
"H4C1","H4C1","Bivariate model, Reitsma 2005",0.875,0.611,0.969,0.576,0.269,0.834,11.9,9.54,2.57,35.3,2.24,2.02,1.25,4.55,0.255,0.227,0.071,0.591,0.791,"Univariate model, Glas 2003",9.92,2.788,35.294,2.295,1.025,3.564,0,0,77.983,0,0,8.831,0,0.088,0.766,1,2
"RAB1B","RAB1B","Bivariate model, Reitsma 2005",0.836,0.356,0.979,0.521,0.168,0.854,9,5.5,0.786,38.5,1.9,1.63,0.91,4.43,0.41,0.339,0.059,1.13,0.712,"Univariate model, Glas 2003",6.42,0.987,41.753,1.859,-0.013,3.732,0,0,312.921,0,0,17.69,0,0.136,0.712,1,2
"RAN","RAN","Bivariate model, Reitsma 2005",0.794,0.514,0.933,0.561,0.444,0.672,5.96,4.92,1.46,16.6,1.78,1.78,1.21,2.39,0.399,0.369,0.126,0.833,0.613,"Univariate model, Glas 2003",4.874,1.465,16.213,1.584,0.382,2.786,0.412,0,55.443,0.642,0,7.446,11.451,3.388,0.336,3,4
"FKBP1A","FKBP1A","Bivariate model, Reitsma 2005",0.605,0.479,0.719,0.641,0.458,0.79,3.05,2.74,1.1,6.78,1.76,1.68,1.05,2.96,0.635,0.619,0.412,0.95,0.649,"Univariate model, Glas 2003",3.327,1.263,8.766,1.202,0.233,2.171,0,0,16.769,0,0,4.095,0,1.869,0.6,3,4
"EIF5A","EIF5A","Bivariate model, Reitsma 2005",0.865,0.69,0.948,0.706,0.458,0.872,20.4,15.3,3.47,67.7,3.21,2.89,1.53,6.73,0.218,0.196,0.072,0.487,0.871,"Univariate model, Glas 2003",16.632,3.438,80.467,2.811,1.235,4.388,0,0,80.153,0,0,8.953,0,0.058,0.81,1,2
"EEF1A1","EEF1A1","Bivariate model, Reitsma 2005",0.902,0.776,0.961,0.559,0.354,0.746,14.4,11.6,3.22,42.1,2.13,2.03,1.35,3.54,0.2,0.179,0.068,0.45,0.892,"Univariate model, Glas 2003",13.362,3.171,56.308,2.592,1.154,4.031,0.23,0,54.609,0.479,0,7.39,0,1.917,0.383,2,3
"TUBB4B","TUBB4B","Bivariate model, Reitsma 2005",0.437,0.237,0.66,0.848,0.649,0.944,5.92,4.32,0.912,20.5,3.38,2.83,0.939,9.04,0.68,0.671,0.389,1.03,0.817,"Univariate model, Glas 2003",3.305,0.98,11.143,1.195,-0.02,2.411,0,0,1307.191,0,0,36.155,0,0.549,0.459,1,2
"BASP1","BASP1","Bivariate model, Reitsma 2005",0.833,0.687,0.919,0.583,0.383,0.759,8.33,6.99,2.2,22.3,2.08,1.98,1.29,3.48,0.311,0.29,0.132,0.608,0.695,"Univariate model, Glas 2003",6.611,2.066,21.153,1.889,0.726,3.052,0,0,15.06,0,0,3.881,0,0.678,0.713,2,3
"DCD","DCD","Bivariate model, Reitsma 2005",0.628,0.424,0.795,0.616,0.398,0.796,2.9,2.71,1.32,5.55,1.68,1.61,1.13,2.59,0.618,0.613,0.394,0.873,0.657,"Univariate model, Glas 2003",2.993,1.44,6.223,1.096,0.364,1.828,0,0,11.742,0,0,3.427,0,1.855,0.603,3,4
"CLTC","CLTC","Bivariate model, Reitsma 2005",0.616,0.402,0.793,0.759,0.525,0.899,5.55,5.05,2.17,11.8,2.71,2.51,1.45,5.07,0.519,0.516,0.317,0.74,0.736,"Univariate model, Glas 2003",5.656,2.42,13.216,1.733,0.884,2.581,0,0,47.928,0,0,6.923,0,1.169,0.557,2,3
"SPTBN1","SPTBN1","Bivariate model, Reitsma 2005",0.792,0.446,0.947,0.451,0.184,0.749,3.7,3.12,0.983,9.87,1.48,1.4,0.994,2.46,0.509,0.478,0.176,1.01,0.642,"Univariate model, Glas 2003",3.058,1.036,9.026,1.118,0.035,2.2,0,0,72.406,0,0,8.509,0,1.436,0.488,2,3
"FABP5","FABP5","Bivariate model, Reitsma 2005",0.86,0.637,0.955,0.583,0.307,0.815,12.5,8.59,1.57,47.1,2.24,2.02,1.15,4.62,0.29,0.247,0.073,0.753,0.661,"Univariate model, Glas 2003",10.285,1.816,58.231,2.331,0.597,4.064,0,0,1521.612,0,0,39.008,0,0.952,0.329,1,2
"AKAP12","AKAP12","Bivariate model, Reitsma 2005",0.835,0.277,0.985,0.808,0.481,0.95,112,21.1,0.59,754,5.5,4.11,0.726,18.5,0.322,0.211,0.017,1.21,0.874,"Univariate model, Glas 2003",19.934,0.556,714.954,2.992,-0.587,6.572,4.078,0,7383.927,2.019,0,85.93,0,1,0.317,1,2
"CALD1","CALD1","Bivariate model, Reitsma 2005",0.78,0.66,0.867,0.726,0.648,0.792,10,9.39,4.64,19,2.86,2.83,2.11,3.82,0.311,0.304,0.182,0.477,0.795,"Univariate model, Glas 2003",13.07,5.203,32.833,2.57,1.649,3.491,0,0,25.629,0,0,5.063,0,0.645,0.724,2,3
"CKAP4","CKAP4","Bivariate model, Reitsma 2005",0.515,0.349,0.678,0.794,0.519,0.933,5.39,4.1,0.965,17.4,2.97,2.48,0.981,7.85,0.641,0.62,0.393,1.02,0.646,"Univariate model, Glas 2003",3.978,0.906,17.465,1.381,-0.099,2.86,0,0,573.575,0,0,23.949,0,0.468,0.494,1,2
"AHNAK","AHNAK","Bivariate model, Reitsma 2005",0.715,0.279,0.942,0.653,0.389,0.847,5.82,4.72,1.33,16.7,2.02,1.94,1.2,3.27,0.468,0.444,0.124,0.924,0.721,"Univariate model, Glas 2003",4.313,1.546,12.03,1.462,0.436,2.487,0,0,29.811,0,0,5.46,0,1.076,0.584,2,3
"SPTAN1","SPTAN1","Bivariate model, Reitsma 2005",0.303,0.196,0.438,0.85,0.765,0.909,2.69,2.48,1.11,5.54,2.12,2.02,1.08,3.75,0.82,0.821,0.655,0.979,0.426,"Univariate model, Glas 2003",3.477,1.229,9.836,1.246,0.207,2.286,0,0,9.284,0,0,3.047,0,0.324,0.85,2,3
"COTL1","COTL1","Bivariate model, Reitsma 2005",0.712,0.368,0.913,0.827,0.604,0.938,20.9,11.9,1.48,95.4,4.76,4,1.27,12.7,0.39,0.354,0.101,0.872,0.848,"Univariate model, Glas 2003",10.107,1.714,59.6,2.313,0.539,4.088,0.732,0,1961.289,0.856,0,44.286,0,1,0.317,1,2
"PLEC","PLEC","Bivariate model, Reitsma 2005",0.792,0.547,0.923,0.646,0.223,0.921,9.06,6.95,1.67,28.9,2.82,2.2,1.11,8.21,0.369,0.347,0.162,0.705,0.801,"Univariate model, Glas 2003",7.226,2.148,24.307,1.978,0.765,3.191,0,0,46.85,0,0,6.845,0,1.854,0.396,2,3
"DPYSL2","DPYSL2","Bivariate model, Reitsma 2005",0.767,0.585,0.884,0.747,0.438,0.918,13.4,9.68,2,46.9,3.57,2.98,1.3,9.31,0.345,0.322,0.151,0.676,0.815,"Univariate model, Glas 2003",10.094,2.049,49.733,2.312,0.717,3.907,0,0,1377.121,0,0,37.11,0,0.592,0.442,1,2
"ADAMTSL4","ADAMTSL4","Bivariate model, Reitsma 2005",0.824,0.373,0.974,0.456,0.206,0.731,5.11,3.93,0.948,16.3,1.49,1.44,0.974,2.26,0.443,0.395,0.094,1.02,0.629,"Univariate model, Glas 2003",3.579,1.036,12.361,1.275,0.036,2.515,0.372,0,31.031,0.61,0,5.571,4.356,3.137,0.371,3,4
"ADAMTS13","ADAMTS13","Bivariate model, Reitsma 2005",0.798,0.626,0.903,0.689,0.248,0.937,15.5,8.78,1.07,71.3,3.6,2.54,1.02,12.6,0.364,0.307,0.13,0.95,0.818,"Univariate model, Glas 2003",8.253,1.343,50.708,2.111,0.295,3.926,2.19,0,74.964,1.48,0,8.658,27.437,4.134,0.247,3,4
"ABI3BP","ABI3BP","Bivariate model, Reitsma 2005",0.747,0.497,0.898,0.825,0.72,0.897,17.5,13.9,3.68,52.6,4.39,4.2,2.21,7.69,0.327,0.309,0.122,0.632,0.837,"Univariate model, Glas 2003",12.734,4.148,39.087,2.544,1.423,3.666,0.611,0,17.705,0.782,0,4.208,6.71,4.288,0.368,4,5
"MEGF8","MEGF8","Bivariate model, Reitsma 2005",0.737,0.616,0.831,0.615,0.478,0.737,4.87,4.49,2.03,9.89,1.96,1.91,1.34,2.85,0.44,0.429,0.266,0.674,0.664,"Univariate model, Glas 2003",4.686,2.017,10.886,1.545,0.702,2.387,0,0,6.263,0,0,2.503,0,0.629,0.73,2,3
"ADAMTSL2","ADAMTSL2","Bivariate model, Reitsma 2005",0.763,0.436,0.931,0.803,0.667,0.892,20.3,13.1,2.09,82.3,4.04,3.79,1.57,7.93,0.331,0.297,0.082,0.767,0.833,"Univariate model, Glas 2003",14.375,1.693,122.038,2.665,0.527,4.804,2.347,0,98.36,1.532,0,9.918,0,1.534,0.464,2,3
